Mineral,Descriptions,Rocks_type,Reference
zoisite,"Relief: High positive Habit/Form: Often found as anhedral grains or granular aggregates. Crystals are columnar, prismatic, bladed, or acicular with the long dimension parallel to the b axis. Zoisite may form oriented intergrowths with epidote. Color: Colorless; but can be pale pink, pale red-violet (V), pink, deep blue (V), pale yellow, yellow-green Pleochroism: – Cleavage: Perfect in one direction",general PPL,http://microckscopic.ro/minerals/
zoisite,Zoisite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I gray and white; often anomalous blue interference colors (‘berlin blue’). Extinction angle: Parallel / 0° / straight in most sections. Twins: Polysynthetic twinning may be present. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V 0 – 69°,general XPL,http://microckscopic.ro/minerals/
Clinozoisite-Epidote,"Relief: High positive (both clinozoisite and epidote) Habit/Form: Often found as anhedral grains or granular aggregates. Crystals are columnar, prismatic, bladed, or acicular with the long dimension parallel to the b axis. Columnar or radial aggregates are relatively common. Sections through crystals are usually six-sided or rectangular. Detrital grains are usually rounded or platy parallel to the basal cleavage. Oriented intergrowths with zoisite may be found, as can grains with brown allanite cores and epidote rims. Color: Clinozoisite is colorless; epidote is colorless, pale yellow, pale green, greenish yellow, yellowish green Pleochroism: Colourless to yellow and green. Cleavage: Perfect basal cleavage {001}.",general PPL,http://microckscopic.ro/minerals/
Clinozoisite-Epidote,"Isotropy/Anisotropy: Anisotropic Interference color: Clinozoisite – order I gray, white and yellow; often anomalous blue or yellow-brown. Epidote – order II – III (very bright or ‘fluorescent’); increasing with increase in iron content. The maximum interference colors range from low second-order to upper third-order colors. Extinction angle: Parallel / 0° / straight to length of elongate crystals and inclined excinction relative to its {001} cleavage (0-25° for the clinozoisite and 25-40° for the epidote). Twins: Multiple normal twinning on {100} is moderately common. Uniaxial/Biaxial: Biaxial, Clinozoisite (+) and Epidote (-) Optic axial angle (2V): Clinozoisite 2V measured: 14 – 90°, calculated: 72 – 86° Epidote 2V measured: 90 – 116°, calculated: 62 – 84°",general XPL,
Chlorite,"Relief: Low-Moderate positive Habit/Form: Rare crystals are tabular parallel to (001) with a roughly hexagonal outline. Commonly found as plates or scales similar to the micas. In sediments, chlorite is a common constituent of the clay fraction and may form oolitic or spherulitic balls similar to glauconite. Color: Colorless to pale green and greenish or green Pleochroism: Moderate Cleavage: Perfect in one direction {001}; in basal sections (z-axis) has no cleavage.",general PPL,http://microckscopic.ro/minerals/
Chlorite,Chlorite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I – II (often ultrablue interference color) Extinction angle: 0 – 10° Twins: Multiple twinning on {001} is common Uniaxial/Biaxial: Biaxial (+) (-) Optic axial angle (2V): 2V 0 – 40°(-) 2V 0 – 60°(+),general XPL,
Augite," Relief: High positive Habit/Form: Crystals are usually stubby prisms elongate along the c axis. Basal cross sections are four or eight sided and show the two cleavages at ~87°. Longitudinal sections are roughly rectangular and show only one cleavage direction. Augite also forms anhedral grains, or irregular masses that may enclose associated minerals. Overgrowths of hornblende are relatively common. Lamellae of exsolved orthopyroxene are commonly found parallel to {100} , whereas pigeonite lamellae are inclined somewhat to either P100} or {001}. The lamellae may be inclined up to 22 and 17° from (100) and (001) respectively for Mg-rich augite. Smaller inclinations are found in Fe-rich augite. Color: Colorless, pale green, pale brown, green, greenish-yellow, pale yellow green, grayish green, violet. Zonal structure is sometimes present. Pleochroism: Absent or weak; it is best shown in {100} sections. Cleavage: Good in two directions {110} (at right angles to the c-axis – on (001)) – the clivage angle in two directions are at nearly right angles 87° and 93°. Prismatic sections parallel to (100) or (010) to which both cleavages are at too acute an angle to be always visible, especially in slightly thick sections.",general PPL,http://microckscopic.ro/minerals/
Augite,"Augite XPL properties Isotropy/Anisotropy: Anisotropic Interference color: Order I-II; bright Extinction angle: The maximum extinction angle of longitudinal sections varies from 35° to 45°. These sections have the maximum interference colors for the slide. Some varieties have a peculiar concentric wavy extinction known as the hourglass structure. Cross sections have parallel or symmetrical extinction depending upon whether {100} and {010} or {110} predominates. Twins: Twins with {100} as twin-plane are common; these often appear as twin seams. Polysynthetic twins with {001} as twin-plane are occasionally found. Combined {100} twins with {001} polysynthetic twins give what is known as herringbone structure. Uniaxial/Biaxial: Biaxial (+) Optic axial angle (2V): 2V measured: 40 – 52°, 48 – 68°
",general XPL,http://microckscopic.ro/minerals/
Diopside,"Relief: High positive Habit/Form: Crystals are usually stubby prisms elongate along the c axis. Basal cross sections are four or eight sided and show the two cleavages at ~87°. Longitudinal sections are roughly rectangular and show only one cleavage direction. Augite also forms anhedral grains, or irregular masses that may enclose associated minerals. Overgrowths of hornblende are relatively common. Lamellae of exsolved orthopyroxene are commonly found parallel to {100} , whereas pigeonite lamellae are inclined somewhat to either P100} or {001}. The lamellae may be inclined up to 22 and 17° from (100) and (001) respectively for Mg-rich augite. Smaller inclinations are found in Fe-rich augite. Color: Diopside (Mg-member) is colorless; Hedenbergite (Fe-member) is pale green to bright-green/yellow-green Pleochroism: For Diopside is absent; with increasing Fe2+, pleochroism also appears. Cleavage: Good in two directions {110} (at right angles to the c-axis – on (001)) – the clivage angle in two directions are at nearly right angles 87° and 93°. Prismatic sections parallel to (100) or (010) to which both cleavages are at too acute an angle to be always visible, especially in slightly thick sections.",general,http://microckscopic.ro/minerals/
Enstatite-Ferrosilite,"Relief: Moderate positive Habit/Form: Euhedral crystals are usually stubby prisms. Basal sections are four or eight-sided and show the prismatic cleavages intersecting at nearly 90°. Longitudinal sections are usually roughly rectangular and show only one direction of cleavage. Orthopyroxene also forms anhedral, irregular grains occupying the space between other minerals, and poikiloblastic with numerous inclusions of associated minerals. Fibrous orthopyroxene may form reaction rims around other minerals such as olivine or garnet. Orthopyroxene commonly contains exsolution lamellae of augite. The lamellae may be uniform and tabular, or they may pinch and swell and form rows of blebs. Lamellae of plagioclase in orthopyroxene are sometimes found in anorthositic rocks and apparently formed by exsolution. Color: Colorless, slight greenish or grayish tinge. Color increase with Fe. Pleochroism: Absent or weak at the Fe-member (see Bronzite) Cleavage: Good in two directions {110} (at right angles to the c-axis – on (001)) – the cleavage angle in two directions are at nearly right angles 87° and 93°. Prismatic sections parallel to (100) or (010) to which both cleavages are at too acute an angle to be always visible, especially in slightly thick sections.",general XPL,http://microckscopic.ro/minerals/
